       1       1       1       1       1       1       6
       2       1       2       2       1       5       5
       3       2       2       3       4       5       4
       4       3       3       3       1       1       1
       5       1       1       1       2       5       6
       6       1       2       2       1       5       5
       7       2       2       3       4       4       4
       8       3       3       3       1       1       1
       9       1       1       1       2       5       6
      10       1       2       2       1       5       5
      11       2       2       3       4       4       4
      12       3       3       3       1       1       1
      13       1       1       1       2       5       6
      14       1       2       2       1       5       5
      15       2       2       3       4       4       4
      16       3       3       3       1       1       1
      17       1       1       1       2       5       6
      18       1       2       2       1       5       5
      19       2       2       3       4       4       4
      20       3       3       3       1       1       1
      21       1       1       1       2       5       6
      22       1       2       2       1       5       5
      23       2       2       3       4       4       4
      24       3       3       3       1       1       1
      25       1       1       1       2       5       6
      26       1       2       2       1       5       5
      27       2       2       3       4       4       4
      28       3       3       3       1       1       1
      29       1       1       1       2       5       6
      30       1       2       2       1       5       5
      31       2       2       3       4       4       4
      32       3       3       3       1       1       1
      33       1       1       1       2       5       6
      34       1       2       2       1       5       5
      35       2       2       3       4       4       4
      36       3       3       3       1       1       1
      37       1       1       1       2       5       6
      38       1       2       2       1       5       5
      39       2       2       3       4       4       4
      40       3       3       3       1       1       1
      41       1       1       1       2       5       6
      42       1       2       2       1       5       5
      43       2       2       3       4       4       4
      44       3       3       3       1       1       1
      45       1       1       1       2       5       6
      46       1       2       2       1       5       5
      47       2       2       3       4       4       4
      48       3       3       3       1       1       1
      49       1       1       1       2       5       6
      50       1       2       2       1       5       5
      51       2       2       3       4       4       4
      52       3       3       3       1       1       1
      53       1       1       1       2       5       6
      54       1       2       2       1       5       5
      55       2       2       3       4       4       4
      56       3       3       3       1       1       1
      57       1       1       1       2       5       6
      58       1       2       2       1       5       5
      59       2       2       3       4       4       4
      60       3       3       3       1       1       1
      61       1       1       1       2       5       6
      62       1       2       2       1       5       5
      63       2       2       3       4       4       4
      64       3       3       3       1       1       1
      65       1       1       1       2       5       6
      66       1       2       2       1       5       5
      67       2       2       3       4       4       4
      68       3       3       3       1       1       1
      69       1       1       1       2       5       6
      70       1       2       2       1       5       5
      71       2       2       3       4       4       4
      72       3       3       3       1       1       1
      73       1       1       1       2       5       6
      74       1       2       2       1       5       5
      75       2       2       3       4       4       4
      76       3       3       3       1       1       1
      77       1       1       1       2       5       6
      78       1       2       2       1       5       5
      79       2       2       3       4       4       4
      80       3       3       3       1       1       1
      81       1       1       1       2       5       6
      82       1       2       2       1       5       5
      83       2       2       3       4       4       4
      84       3       3       3       1       1       1
      85       1       1       1       2       5       6
      86       1       2       2       1       5       5
      87       2       2       3       4       4       4
      88       3       3       3       1       1       1
      89       1       1       1       2       5       6
      90       1       2       2       1       5       5
      91       2       2       3       4       4       4
      92       3       3       3       1       1       1
      93       1       1       1       2       5       6
      94       1       2       2       1       5       5
      95       2       2       3       4       4       4
      96       3       3       3       1       1       1
      97       1       1       1       2       5       6
      98       1       2       2       1       5       5
      99       2       2       3       4       4       4
     100       3       3       3       1       1       1
     101       1       1       1       2       5       6
     102       1       2       2       1       5       5
     103       2       2       3       4       4       4
     104       3       3       3       1       1       1
     105       1       1       1       2       5       6
     106       1       2       2       1       5       5
     107       2       2       3       4       4       4
     108       3       3       3       1       1       1
     109       1       1       1       2       5       6
     110       1       2       2       1       5       5
     111       2       2       3       4       4       4
     112       3       3       3       1       1       1
     113       1       1       1       2       5       6
     114       1       2       2       1       5       5
     115       2       2       3       4       4       4
     116       3       3       3       1       1       1
     117       1       1       1       2       5       6
     118       1       2       2       1       5       5
     119       2       2       3       4       4       4
     120       3       3       3       1       1       1
     121       1       1       1       2       5       6
     122       1       2       2       1       5       5
     123       2       2       3       4       4       4
     124       3       3       3       1       1       1
     125       1       1       1       2       5       6
     126       1       2       2       1       5       5
     127       2       2       3       4       4       4
     128       3       3       3       1       1       1
     129       1       1       1       2       5       6
     130       1       2       2       1       5       5
     131       2       2       3       4       4       4
     132       3       3       3       1       1       1
     133       1       1       1       2       5       6
     134       1       2       2       1       5       5
     135       2       2       3       4       4       4
     136       3       3       3       1       1       1
     137       1       1       1       2       5       6
     138       1       2       2       1       5       5
     139       2       2       3       4       4       4
     140       3       3       3       1       1       1
     141       1       1       1       2       5       6
     142       1       2       2       1       5       5
     143       2       2       3       4       4       4
     144       3       3       3       1       1       1
     145       1       1       1       2       5       6
     146       1       2       2       1       5       5
     147       2       2       3       4       4       4
     148       3       3       3       1       1       1
     149       1       1       1       2       5       6
     150       1       2       2       1       5       5
     151       2       2       3       4       4       4
     152       3       3       3       1       1       1
     153       1       1       1       2       5       6
     154       1       2       2       1       5       5
     155       2       2       3       4       4       4
     156       3       3       3       1       1       1
     157       1       1       1       2       5       6
     158       1       2       2       1       5       5
     159       2       2       3       4       4       4
     160       3       3       3       1       1       1
     161       1       1       1       2       5       6
     162       1       2       2       1       5       5
     163       2       2       3       4       4       4
     164       3       3       3       1       1       1
     165       1       1       1       2       5       6
